root_id	group	nt_type
720575940604486880	SMP	GLUT
720575940604487456	ME.LO	ACH
720575940604487968	LO.LOP	ACH
720575940604488672	SMP	GLUT
720575940604489649	MB_CA.MB_ML	ACH
720575940604493024	MB_CA.MB_ML	ACH
720575940604494694	ME.LO	ACH
720575940604497888	PLP.MB_ML	ACH
720575940604498022	ME	ACH
720575940604499936	AL	ACH
720575940604500448	MB_CA.MB_ML	ACH
720575940604500960	AOTU	ACH
720575940604504748	SAD.IPS	GLUT
720575940604505278	MB_ML	ACH
720575940604508332	ME	ACH
720575940604508960	ME.LO	ACH
720575940604509374	MB_CA.MB_ML	ACH
720575940604510892	LO.AOTU	ACH
720575940604511776	LO.LOP	ACH
720575940604515006	LO	GLUT
720575940604516710	ME	GABA
720575940604517809	SAD	GLUT
720575940604518432	NO	ACH
720575940604518944	NO.FB	ACH
720575940604519014	ME.LO	ACH
720575940604521440	ME	GABA
720575940604521952	ME.LOP	ACH
720575940604525792	ME	GLUT
720575940604527038	LO	ACH
720575940604529580	ME	ACH
720575940604531229	AMMC	ACH
720575940604532913	IPS	GLUT
720575940604533862	ME	GABA
720575940604536934	ME	ACH
720575940604539825	SPS.IPS	GLUT
720575940604541798	ME	ACH
720575940604542176	CRE	ACH
720575940604543968	SLP.ICL	ACH
720575940604544358	LO.LOP	ACH
720575940604550590	MB_CA.MB_ML	ACH
720575940604552894	AL	ACH
720575940604553150	ME.LO	ACH
720575940604553504	LO	GABA
720575940604557792	MB_CA.MB_ML	ACH
720575940604559811	LA	ACH
720575940604561510	ME	ACH
720575940604561766	NO	ACH
720575940604564512	ME	GLUT
720575940604565280	ME.LOP	ACH
720575940604565350	SMP	GLUT
720575940604567486	ME.LOP	ACH
720575940604568521	AL	GABA
720575940604569824	AVLP	GABA
720575940604575712	SLP.SMP	GLUT
720575940604576689	MB_CA.MB_ML	ACH
720575940604578732	LO	ACH
720575940604579500	LO	ACH
720575940604581152	SCL.MB_CA	ACH
720575940604584416	LO.PLP	ACH
720575940604584672	ME	ACH
720575940604585504	ME.LO	ACH
720575940604585662	ME	ACH
720575940604585760	ME.LO	ACH
720575940604589856	AVLP	GABA
720575940604590048	GNG	ACH
720575940604590304	AVLP	GLUT
720575940604590880	ME	ACH
720575940604592160	ME	ACH
720575940604597536	LO.PLP	ACH
720575940604599654	ME	ACH
720575940604601022	LO.PVLP	ACH
720575940604605030	ME	GABA
720575940604607678	ME	ACH
720575940604607689	AVLP	GLUT
720575940604609056	LO.SPS	ACH
720575940604609201	ME	GABA
720575940604609504	AVLP.PVLP	ACH
720575940604610225	ME.LO	ACH
720575940604612286	ME.LO	ACH
720575940604612832	FB	ACH
720575940604614060	ME	GABA
720575940604615014	SLP	ACH
720575940604616806	LO.PLP	ACH
720575940604618417	LO.LOP	ACH
720575940604620512	MB_CA.MB_ML	ACH
720575940604621251	LA	ACH
720575940604621257	GNG	GLUT
720575940604622453	ME.LOP	ACH
720575940604624096	ME	ACH
720575940604624574	PLP	ACH
720575940604624998	PLP.PVLP	GABA
720575940604626912	MB_CA.MB_ML	ACH
720575940604627889	ME	ACH
720575940604628158	ME.LO	ACH
720575940604628192	SLP.SMP	ACH
720575940604629681	LO.LOP	ACH
720575940604630240	MB_CA.MB_ML	ACH
720575940604630496	MB_CA.MB_VL	ACH
720575940604630560	LO.PVLP	ACH
720575940604630752	ME	GABA
720575940604632753	ME	GLUT
720575940604634592	ME	GABA
720575940604635253	ME.LOP	ACH
720575940604635616	ME	GABA
720575940604636021	ME.LOP	ACH
720575940604636789	ME.LOP	ACH
720575940604637045	ME.LOP	ACH
720575940604637617	ME.LO	ACH
720575940604640480	ME.LO	ACH
720575940604640945	ME.LOP	ACH
720575940604641504	ME.LO	ACH
720575940604643872	LO.PVLP	ACH
720575940604645478	AL	ACH
720575940604646316	LO.PVLP	ACH
720575940604646368	ME.LO	ACH
720575940604650464	ME	GABA
720575940604652512	ME.LOP	ACH
720575940604653484	WED	GABA
720575940604657888	ME.LO	ACH
720575940604658366	GNG.IPS	GLUT
720575940604658912	ME	ACH
720575940604659424	ME	GLUT
720575940604659884	ME	GABA
720575940604660401	ME	GLUT
720575940604661472	ME	ACH
720575940604664800	ME.LO	ACH
720575940604665009	ME	GLUT
720575940604666336	LO.LOP	ACH
720575940604668094	ME.LO	ACH
720575940604671200	ME	GABA
720575940604672870	LAL	GLUT
720575940604675430	AL	ACH
720575940604678880	ME	GLUT
720575940604679664	ME.LOP	ACH
720575940604681830	PVLP	ACH
720575940604682412	ME	ACH
720575940604682976	LH	ACH
720575940604684209	LO	ACH
720575940604684460	ME.LO	ACH
720575940604685513	ICL	ACH
720575940604685740	ME	ACH
720575940604687532	ME	ACH
720575940604690278	LAL	GABA
720575940604692070	ME	GLUT
720575940604692354	AOTU	GABA
720575940604692704	ME	GABA
720575940604693164	SLP.ICL	ACH
720575940604694496	LO.LOP	ACH
720575940604694974	ME.LO	ACH
720575940604698633	ME	GLUT
720575940604699120	ME.LOP	ACH
720575940604699825	ME.LOP	ACH
720575940604700006	AL	ACH
720575940604700384	ME.LO	ACH
720575940604701374	SIP	GLUT
720575940604704870	AL	ACH
720575940604704940	LO.LOP	ACH
720575940604705312	GNG	ACH
720575940604706592	AVLP	ACH
720575940604708832	PB	GLUT
720575940604709152	ME	ACH
720575940604709920	FB	ACH
720575940604711392	ME.LO	ACH
720575940604712113	ME	GLUT
720575940604712688	ME.LOP	ACH
720575940604713184	LH.SLP	ACH
720575940604714208	LH.SMP	ACH
720575940604714464	LH	GLUT
720575940604714929	ME	ACH
720575940604715744	ME.LO	ACH
720575940604717233	ME	ACH
720575940604720096	ME	GABA
720575940604721120	ME.LO	ACH
720575940604721376	ME	ACH
720575940604721632	ME.LO	ACH
720575940604722278	GNG.SAD	GLUT
720575940604722622	ME.LO	ACH
720575940604725606	LO.PVLP	ACH
720575940604727264	GNG	ACH
720575940604728009	ME	ACH
720575940604729056	GNG	ACH
720575940604729312	IPS.GNG	ACH
720575940604731569	LO.LOP	ACH
720575940604731838	IPS.LAL	ACH
720575940604732350	AOTU.IPS	ACH
720575940604732640	LO.LOP	ACH
720575940604734641	ME	ACH
720575940604735660	GNG.IPS	GABA
720575940604736544	ICL.IB	GLUT
720575940604737708	LAL.IPS	ACH
720575940604738016	ME	GABA
720575940604740832	ME	ACH
720575940604741809	ME.LO	ACH
720575940604744625	ME	ACH
720575940604745346	IPS.SAD	GABA
720575940604745456	ME.LOP	ACH
720575940604747744	ME.LO	ACH
720575940604747878	IB.LAL	GLUT
720575940604748134	PLP	GLUT
720575940604748768	ME	GABA
720575940604749758	LO.PVLP	ACH
720575940604753254	AVLP	ACH
720575940604753437	SAD	ACH
720575940604754144	ME	GLUT
720575940604754534	SLP	GLUT
720575940604756000	ICL.SPS	ACH
720575940604759910	SCL.SMP	ACH
