neuron1	neuron2	score
720575941540246364	720575940626982181	0.598844
720575941566797110	720575940645199748	0.428759
720575941593714027	720575940632556831	0.634645
720575941414947220	720575940634750871	0.584651
720575941484965186	720575940623743892	0.462122
720575941516704761	720575940622674504	0.445851
720575941572669342	720575940629041879	0.628504
720575941477053233	720575940635179871	0.582065
720575941441901759	720575940620463732	0.444614
720575941513798097	720575940639425112	0.589308
720575941689304438	720575940628833989	0.413107
720575941578509401	720575940630690678	0.397749
720575941537991907	720575940629247682	0.558018
720575941555321601	720575940643683744	0.515218
720575941612667238	720575940632517028	0.432799
720575941703138522	720575940623264904	0.388779
720575941566309174	720575940619432261	0.642264
720575941576562792	720575940628436282	0.448585
720575941580007669	720575940627758833	0.463427
720575941596702597	720575940629176007	0.426937
720575941624212732	720575940612512146	0.440182
720575941594823537	720575940626009852	0.596507
720575941440355157	720575940615964614	0.399364
720575941657989712	720575940622195625	0.557817
720575941440441173	720575940616343441	0.476372
720575941556437732	720575940619153136	0.423849
720575941662302844	720575940611904296	0.481393
720575941611018314	720575940635697380	0.357195
720575941601087478	720575940625857923	0.508093
720575941641465682	720575940639232309	0.433311
720575941691258776	720575940629876473	0.419692
720575941410113451	720575940629745022	0.412523
720575941408568238	720575940634459290	0.61553
720575941461674436	720575940637308605	0.623161
720575941611824358	720575940620116001	0.410466
720575941515922778	720575940624977847	0.622425
720575941416724764	720575940606324402	0.533331
720575941626530442	720575940614137907	0.675805
720575941439620415	720575940615292895	0.578845
720575941504810290	720575940605513649	0.648584
720575941531454923	720575940616195467	0.385533
720575941542898205	720575940619945931	0.544615
720575941584448390	720575940617286517	0.547041
720575941574252795	720575940621591477	0.383069
720575941545487365	720575940621163802	0.398715
720575941569367546	720575940641791904	0.399154
720575941496919168	720575940646814340	0.651495
720575941413189999	720575940630236988	0.590128
720575941408535343	720575940642549467	0.623993
720575941537583336	720575940630346860	0.647853
720575941491065653	720575940631082808	0.62102
720575941438778815	720575940617286517	0.547574
720575941432332641	720575940633764247	0.458424
720575941453086535	720575940628397775	0.563444
720575941574753545	720575940618096321	0.384631
720575941559176942	720575940621226484	0.675246
720575941510621968	720575940617950877	0.553755
720575941542421340	720575940621591477	0.416783
720575941438942738	720575940622912500	0.376988
720575941496667520	720575940618092289	0.390072
720575941574838280	720575940627125842	0.0863767
720575941482323651	720575940632879917	0.430766
720575941611992493	720575940613358450	0.600231
720575941691134872	720575940630780589	0.48242
720575941504443074	720575940620407105	0.393016
720575941526955266	720575940633178508	0.592675
720575941640840991	720575940631110095	0.537312
720575941578746713	720575940634381454	0.411597
720575941477812131	720575940629428215	0.620908
720575941658841112	720575940638013274	0.564048
720575941624437756	720575940623556755	0.627887
720575941595542823	720575940612203482	0.616097
720575941477803073	720575940632674003	0.451669
720575941607672685	720575940622488103	0.438934
720575941490590924	720575940628883535	0.620899
720575941723386170	720575940644275223	0.48867
720575941485405250	720575940612786995	0.359774
720575941558607396	720575940628884496	0.631165
720575941556189924	720575940622109769	0.393625
720575941555503187	720575940618202539	0.387812
720575941527484441	720575940644096712	0.471701
720575941541431644	720575940611813362	0.421676
720575941524165453	720575940608683477	0.520798
720575941438465298	720575940619582168	0.659854
720575941534881368	720575940642549467	0.63078
720575941515548515	720575940644758308	0.683484
720575941480480963	720575940635355804	0.635685
720575941593285416	720575940623147802	0.432648
720575941574768392	720575940629183131	0.440539
720575941486700098	720575940623062515	0.617973
720575941553786503	720575940629490476	0.628218
720575941613459164	720575940641781152	0.424068
720575941545123589	720575940636004975	0.249238
720575941644756168	720575940623446860	0.624143
720575941556446436	720575940610610990	0.428393
720575941483848122	720575940636706118	0.412398
720575941592893992	720575940625539984	0.550148
720575941703228634	720575940617674053	0.412138
720575941493311920	720575940614511614	0.413335
720575941535925018	720575940622002086	0.457957
720575941448063764	720575940634332570	0.477698
720575941561380653	720575940621978109	0.414794
720575941535068650	720575940623264904	0.398008
720575941538080754	720575940622929847	0.413744
720575941525186818	720575940634782359	0.654062
720575941642906529	720575940626889491	0.633842
720575941504090162	720575940618167579	0.64001
720575941535938314	720575940638842933	0.405279
720575941560216079	720575940623368375	0.484706
720575941439395903	720575940624910128	0.430495
720575941439786719	720575940624015287	0.470524
720575941550687037	720575940617208065	0.412222
720575941496696263	720575940631309866	0.611115
720575941496695751	720575940621566844	0.576339
720575941514658906	720575940611603502	0.460757
720575941595237157	720575940613706546	0.434042
720575941625952923	720575940606224318	0.460193
720575941541075069	720575940611429489	0.424302
720575941539028722	720575940621313414	0.5876
720575941515619427	720575940613558509	0.583016
720575941411740817	720575940623400629	0.449566
720575941529904312	720575940633416604	0.410075
720575941459023088	720575940611622826	0.630293
720575941447914772	720575940635860058	0.388881
720575941561655341	720575940626328707	0.597328
720575941542885661	720575940639152361	0.686027
720575941459870278	720575940626894394	0.396133
720575941552013055	720575940622264444	0.420635
720575941513808849	720575940637603038	0.585567
